load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,5.27983,0,5.27983
North,2025011512,3.83593,0.387937,4.22386
North,2025011600,4.75185,0,4.75185
North,2025011612,4.35124,0.083819,4.43506
North,2025061500,4.22386,0,4.22386
North,2025061512,6.3358,0,6.3358
North,2035011512,6.3358,0,6.3358
Central,2025011500,3.90707,0,3.90707
Central,2025011512,3.572,-0.404101,3.1679
Central,2025011600,3.80148,0,3.80148
Central,2025011612,3.572,-0.0873115,3.48469
Central,2025061500,4.06363,-0.895731,3.1679
Central,2025061512,5.4264,-1.20253,4.22386
Central,2035011512,8.15612,-3.29868,4.85744
South,2025011500,6.3358,0,6.3358
South,2025011512,7.39176,0,7.39176
South,2025011600,6.86378,0,6.86378
South,2025011612,7.60296,0,7.60296
South,2025061500,7.60574,0.841987,8.44773
South,2025061512,9.42928,1.13038,10.5597
South,2035011512,7.98689,3.10075,11.0876
