GEN_TPS_1,GEN_TPS_2,DispatchGen,ts_duration_of_tp,ts_num_tps,ts_scale_to_period,BaseloadDispatchGWh
N-Geothermal,1,0.96858075,12,4,913.12,10.61316545
N-Geothermal,2,0.96858075,12,4,913.12,10.61316545
N-Geothermal,3,0.96858075,12,4,913.12,10.61316545
N-Geothermal,4,0.96858075,12,4,913.12,10.61316545
N-Geothermal,5,0.96858075,12,2,1826.25,21.22644714
N-Geothermal,6,0.96858075,12,2,1826.25,21.22644714
N-Geothermal,7,0.96858075,24,1,3652.5,84.90578855
N-Coal_IGCC,1,-1.55E-15,12,4,913.12,-1.70313E-14
N-Coal_IGCC,2,-1.55E-15,12,4,913.12,-1.70313E-14
N-Coal_IGCC,3,-1.55E-15,12,4,913.12,-1.70313E-14
N-Coal_IGCC,4,-1.55E-15,12,4,913.12,-1.70313E-14
N-Coal_IGCC,5,0,12,2,1826.25,0
N-Coal_IGCC,6,-1.55E-15,12,2,1826.25,-3.40628E-14
N-Coal_IGCC,7,-1.55E-15,24,1,3652.5,-1.36251E-13
N-Coal_IGCC_CCS,7,-5.80E-16,,,,
N-Coal_ST,1,1.692,12,4,913.12,18.53998848
N-Coal_ST,2,1.692,12,4,913.12,18.53998848
N-Coal_ST,3,1.692,12,4,913.12,18.53998848
N-Coal_ST,4,1.692,12,4,913.12,18.53998848
N-Coal_ST,5,1.692,12,2,1826.25,37.08018
N-Coal_ST,6,1.692,12,2,1826.25,37.08018
N-Coal_ST,7,1.692,24,1,3652.5,148.32072
N-Nuclear,7,0,,,,
N-Biomass_IGCC,1,0,,,,
N-Biomass_IGCC,2,0,,,,
N-Biomass_IGCC,3,0,,,,
N-Biomass_IGCC,4,0,,,,
N-Biomass_IGCC,5,0,,,,
N-Biomass_IGCC,6,0,,,,
N-Biomass_IGCC,7,0,,,,
N-Biomass_IGCC_CCS,7,0,,,,
C-Coal_IGCC,1,1.84E-15,12,4,913.12,2.01459E-14
C-Coal_IGCC,2,1.84E-15,12,4,913.12,2.01459E-14
C-Coal_IGCC,3,1.84E-15,12,4,913.12,2.01459E-14
C-Coal_IGCC,4,1.84E-15,12,4,913.12,2.01459E-14
C-Coal_IGCC,5,0,12,2,1826.25,0
C-Coal_IGCC,6,1.84E-15,12,2,1826.25,4.0292E-14
C-Coal_IGCC,7,0,24,1,3652.5,0
C-Coal_ST,1,1.692,12,4,913.12,18.53998848
C-Coal_ST,2,1.692,12,4,913.12,18.53998848
C-Coal_ST,3,1.692,12,4,913.12,18.53998848
C-Coal_ST,4,1.692,12,4,913.12,18.53998848
C-Coal_ST,5,1.692,12,2,1826.25,37.08018
C-Coal_ST,6,1.692,12,2,1826.25,37.08018
C-Nuclear,7,0,24,1,3652.5,0
C-Biomass_IGCC,1,0,,,,
C-Biomass_IGCC,2,0,,,,
C-Biomass_IGCC,3,0,,,,
C-Biomass_IGCC,4,0,,,,
C-Biomass_IGCC,5,0,,,,
C-Biomass_IGCC,6,0,,,,
C-Biomass_IGCC,7,0,,,,
S-Geothermal,1,2.90574225,12,4,913.12,31.83949636
S-Geothermal,2,2.90574225,12,4,913.12,31.83949636
S-Geothermal,3,2.90574225,12,4,913.12,31.83949636
S-Geothermal,4,2.90574225,12,4,913.12,31.83949636
S-Geothermal,5,2.90574225,12,2,1826.25,63.67934141
S-Geothermal,6,2.90574225,12,2,1826.25,63.67934141
S-Geothermal,7,2.90574225,24,1,3652.5,254.7173656
S-Biomass_IGCC,1,0,,,,
S-Biomass_IGCC,2,0,,,,
S-Biomass_IGCC,3,0,,,,
S-Biomass_IGCC,4,0,,,,
S-Biomass_IGCC,5,0,,,,
S-Biomass_IGCC,6,0,,,,
S-Biomass_IGCC,7,0,,,,
S-Biomass_IGCC_CCS,7,0,,,,
,,,,,,1124.206726
